epci,libepci,nature_epci,nb_com
200042646,Communauté de communes Grand Orb communauté de communes en Languedoc,CC,23
200042653,Communauté de communes Sud-Hérault,CC,17
200042703,Communauté de communes de l'Argonne Champenoise,CC,60
200042729,Communauté de communes de la Baie du Cotentin,CC,23
200042901,Communauté de communes Drôme Sud Provence,CC,14
200042935,Communauté d'agglomération Haut - Bugey Agglomération,CA,42
200042943,Communauté de communes du Cap Corse,CC,18
200042992,Communauté de communes Perthois-Bocage et Der,CC,25
200043016,Communauté de communes Val de Charente,CC,32
200043065,Communauté de communes du Val d'Amboise,CC,14
200043081,"Communauté de communes Chinon, Vienne et Loire",CC,19
200043123,Communauté de communes Auray Quiberon Terre Atlantique,CC,24
200043156,Communauté de communes du Pays Rethélois,CC,65
200043172,Communauté d'agglomération du Bassin de Brive,CA,48
200043263,Communauté de communes Cœur de l'Avesnois,CC,43
200043321,Communauté de communes du Pays de Mormal,CC,52
200043354,Communauté de communes de Villedieu Intercom,CC,27
200043396,Communauté d'agglomération Maubeuge Val de Sambre,CA,43
200043404,Communauté de communes du Sud Avesnois,CC,12
200043438,Communauté de communes de la Moivre à la Coole,CC,28
200043495,Communauté d'agglomération du Pays de Laon,CA,38
200043602,"Communauté de communes des Albères, de la Côte Vermeille et de l'Illibéris",CC,15
200043628,Communauté de communes des Vallées du Clain,CC,16
200043693,Communauté de communes Terre Lorraine du Longuyonnais,CC,27
200043776,Communauté de communes Pyrénées Audoises,CC,61
200043974,Communauté de communes du Sud Gironde,CC,37
200043982,Communauté de communes du Bazadais,CC,31
200043990,Communauté de communes Vallons de Haute-Bretagne Communauté,CC,18
200044014,Communauté de communes Creuse Grand Sud,CC,26
200044030,Communauté de communes des 7 Vallées,CC,66
200044048,Communauté de communes Osartis Marquion,CC,49
200044253,Communauté de communes du Bassin de Joinville en Champagne,CC,59
200044394,Communauté de communes du Réolais en Sud Gironde,CC,41
200044469,Communauté de communes du Pays de Mirepoix,CC,33
200044618,Communauté d'agglomération Douaisis Agglo,CA,35
200044691,Communauté d'agglomération du Nord Grande Terre,CA,5
200046977,Métropole de Lyon,METRO,58
200048551,Communauté de communes du Pays de Craon,CC,37
200049187,Communauté d'agglomération du Grand Verdun,CA,25
200049211,Communauté de communes Conflent-Canigó,CC,45
200049484,Communauté de communes Berry Grand Sud,CC,32
200050532,Communauté de communes de Petite-Terre,CC,2
200054781,Métropole du Grand Paris,METRO,130
200054807,Métropole d'Aix-Marseille-Provence,METRO,92
200055481,Communauté de communes Beauce Val de Loire,CC,30
200055655,Communauté d'agglomération Roissy Pays de France,CA,42
200055887,Communauté de communes Mayenne Communauté,CC,33
200056232,Communauté d'agglomération Communauté Paris-Saclay,CA,27
200056380,Communauté d'agglomération Plaine Vallée,CA,18
200057859,Communauté d'agglomération Cœur d'Essonne Agglomération,CA,21
200057958,Communauté d'agglomération Paris - Vallée de la Marne,CA,12
200058360,Communauté de communes entre Beauce et Perche,CC,33
200058477,Communauté d'agglomération Val d'Yerres Val de Seine,CA,9
200058485,Communauté d'agglomération Val Parisis,CA,15
200058519,Communauté d'agglomération Saint Germain Boucles de Seine,CA,19
200058782,Communauté d'agglomération de Saint-Quentin-en-Yvelines,CA,12
200059228,Communauté d'agglomération Grand Paris Sud Seine Essonne Sénart,CA,23
200059392,Communauté de communes Bièvre Isère,CC,50
200059400,Communauté de communes Porte Océane du Limousin,CC,13
200059871,Communauté de communes du Centre-Ouest,CC,5
200059889,Communauté urbaine Grand Paris Seine et Oise,CU,73
200060010,Communauté d'agglomération Mauges Communauté,CA,6
200060457,Communauté d'agglomération de Dembeni / Mamoudzou,CA,2
200060465,Communauté d'agglomération du Grand Nord de Mayotte,CA,4
200060473,Communauté de communes du Sud,CC,4
200065563,Communauté de communes Normandie-Cabourg-Pays d'Auge,CC,38
200065589,Communauté de communes Val ès Dunes,CC,19
200065597,Communauté urbaine Caen la Mer,CU,48
200065647,Communauté d'agglomération Pays de Montbéliard Agglomération,CA,73
200065787,Communauté de communes de Pont-Audemer / Val de Risle,CC,32
200065886,Communauté d'agglomération Loire Forez Agglomération,CA,84
200065894,Communauté de communes de Forez-Est,CC,42
200065928,Communauté d'agglomération Lannion-Trégor Communauté,CA,57
200066009,Communauté d'agglomération Mulhouse Alsace Agglomération,CA,39
200066017,Communauté de communes Lieuvin Pays d'Auge,CC,51
200066025,Communauté de communes Alsace Rhin Brisach,CC,29
200066033,Communauté de communes Sud Alsace Largue,CC,44
200066041,Communauté de communes Sundgau,CC,64
200066058,Communauté d'agglomération Saint-Louis Agglomération,CA,40
200066108,Communauté de communes des Portes de Meuse,CC,51
200066116,Communauté de communes Argonne-Meuse,CC,38
200066124,Communauté d'agglomération Gaillac-Graulhet,CA,56
200066132,Communauté de communes du Pays de Stenay et du Val Dunois,CC,41
200066140,Communauté de communes de l'Aire à l'Argonne,CC,47
200066157,Communauté de communes de Commercy - Void - Vaucouleurs,CC,54
200066165,Communauté de communes Val de Meuse - Voie Sacrée,CC,25
200066173,Communauté de communes de Damvillers Spincourt,CC,41
200066223,Communauté de communes Arize Lèze,CC,27
200066231,Communauté de communes des Portes d'Ariège Pyrénées,CC,34
200066280,Communauté de communes du Pithiverais,CC,31
200066322,Communauté de communes Terres des Confluences,CC,22
200066330,Communauté de communes Terres du Haut Berry,CC,30
200066348,Communauté de communes du Minervois au Caroux,CC,36
200066355,Communauté d'agglomération Sète Agglopôle Méditerranée,CA,14
200066363,Communauté de communes de la Haute Ariège,CC,51
200066371,Communauté de communes Causses et Vallée de la Dordogne,CC,77
200066389,Communauté d'agglomération Saint-Lô Agglo,CA,61
200066405,Communauté de communes Roumois Seine,CC,40
200066413,Communauté de communes Intercom Bernay Terres de Normandie,CC,75
200066462,Communauté de communes Interco Normandie Sud Eure,CC,41
200066512,Communauté de communes Élan Limousin Avenir Nature,CC,24
200066520,Communauté de communes Ouest Limousin,CC,16
200066553,Communauté de communes du Haut-Languedoc,CC,20
200066561,Communauté de communes Sidobre Vals et Plateaux,CC,16
200066587,Communauté de communes des Monts du Lyonnais,CC,32
200066603,Communauté de communes du Pays de Lubersac-Pompadour,CC,10
200066637,Communauté de communes Hautes Terres Communauté,CC,39
200066645,Communauté de communes Vézère-Monédières-Millesources,CC,20
200066652,Communauté de communes Grand Sud Tarn et Garonne,CC,25
200066660,Saint-Flour Communauté,CC,53
200066678,Communauté de communes de la Châtaigneraie Cantalienne,CC,50
200066710,Communauté de communes Cingal-Suisse Normande,CC,41
200066728,Communauté de communes Vallées de l'Orne et de l'Odon,CC,22
200066744,Communauté de communes Haute-Corrèze Communauté,CC,70
200066751,Communauté de communes Xaintrie Val'Dordogne,CC,30
200066769,Communauté de communes Midi Corrézien,CC,34
200066777,Ploërmel Communauté,CC,30
200066785,Communauté de communes de l'Oust à Brocéliande,CC,26
200066793,Communauté d'agglomération du Grand Annecy,CA,34
200066801,Communauté de communes Isigny-Omaha Intercom,CC,59
200066819,Communauté de communes du Volvestre,CC,32
200066827,Communauté de communes du Pays de Honfleur-Beuzeville,CC,23
200066835,Communauté de communes de Sézanne-Sud Ouest Marnais,CC,62
200066850,Communauté de communes des Paysages de la Champagne,CC,51
200066868,Communauté de communes Presqu'île de Crozon-Aulne maritime,CC,10
200066876,Communauté d'agglomération de Châlons-en-Champagne,CA,45
200066884,Communauté de communes Quercy Vert-Aveyron,CC,12
200066892,Communauté de communes de Vendeuvre-Soulaines,CC,38
200066918,Communauté d'agglomération Alès Agglomération,CA,71
200066926,Communauté d'agglomération Grand Auch Cœur de Gascogne,CA,34
200066975,Communauté de communes Senlis Sud Oise,CC,17
200067023,Communauté de communes Coutances Mer et Bocage,CC,48
200067031,Communauté de communes Côte Ouest Centre Manche,CC,30
200067049,Communauté de communes Spelunca-Liamone,CC,33
200067064,Communauté de communes Decazeville Communauté,CC,12
200067072,Communauté de communes Haut-Léon Communauté,CC,14
200067080,Communauté de communes Chablis Villages et Terroirs,CC,36
200067106,Communauté d'agglomération du Pays Basque,CA,158
200067114,Communauté d'agglomération de l'Auxerrois,CA,29
200067122,Communauté de communes du Pays de Lafrançaise,CC,11
200067130,Communauté de communes de Puisaye-Forterre,CC,57
200067155,"Communauté de communes Saint Affricain, Roquefort, Sept Vallons",CC,14
200067163,"Communauté de communes Monts, Rance et Rougier",CC,23
200067171,Communauté de communes Aubrac Carladez Viadène,CC,21
200067189,Creuse Sud Ouest,CC,43
200067197,Communauté de communes Monts d'Arrée Communauté,CC,12
200067205,Communauté d'agglomération du Cotentin,CA,129
200067213,Communauté urbaine du Grand Reims,CU,143
200067239,Communauté de communes des Luys en Béarn,CC,66
200067247,Communauté de communes Pleyben-Châteaulin-Porzay,CC,17
200067254,Communauté d'agglomération Pau Béarn Pyrénées,CA,31
200067262,Communauté de communes du Haut Béarn,CC,48
200067288,Communauté de communes du Béarn des Gaves,CC,53
200067296,Communauté de communes du Nord Est Béarn,CC,73
200067304,Communauté de communes Serein et Armance,CC,29
200067320,Communauté de communes Serre-Ponçon Val d'Avance,CC,16
200067346,Communauté d'agglomération Pornic Agglo Pays de Retz,CA,15
200067361,Communauté de communes Grand-Figeac,CC,92
200067379,Communauté de communes Côtes de Champagne et Val de Saulx,CC,40
200067429,Communauté de communes Haut Nivernais-Val d'Yonne,CC,30
200067437,Communauté d'agglomération Provence-Alpes-Agglomération,CA,46
200067445,Communauté de communes Buëch-Dévoluy,CC,20
200067452,Communauté de communes du Guillestrois et du Queyras,CC,15
200067460,Communauté de communes Loudéac Communauté - Bretagne Centre,CC,38
200067478,Communauté de communes Comtal Lot et Truyère,CC,21
200067486,Communauté de communes Bouzonvillois-Trois Frontières,CC,40
200067502,Communauté d'agglomération Saint-Avold Synergie,CA,41
200067544,Creuse Confluence,CC,41
200067551,Communauté d'agglomération Thonon Agglomération,CA,25
200067593,Communauté de communes Marche et Combraille en Aquitaine,CC,50
200067627,Communauté de communes Billom Communauté,CC,25
200067635,Communauté d'agglomération Clisson Sèvre et Maine Agglo,CA,16
200067643,Communauté de communes Meurthe Mortagne Moselle,CC,37
200067650,Communauté de communes Houve-Pays Boulageois,CC,37
200067668,"Communauté de communes de la Cléry, du Betz et de l'Ouanne",CC,23
200067676,Communauté de communes Canaux et Forêts en Gâtinais,CC,38
200067684,"Communauté d'agglomération Épernay, Coteaux et Plaine de Champagne",CA,47
200067692,Communauté de communes Tannay-Brinon-Corbigny,CC,58
200067700,Communauté de communes Sud Nivernais,CC,20
200067742,Communauté de communes Serre-Ponçon,CC,17
200067759,Communauté de communes Vallées et Plateau d'Ardenne,CC,31
200067767,Communauté de communes du Royans-Vercors,CC,18
200067783,Communauté de communes de Hanau-La Petite Pierre,CC,38
200067791,Communauté d'agglomération L'agglo Foix-Varilhes,CA,42
200067817,Communauté de communes Saône-Beaujolais,CC,35
200067825,Communauté d'agglomération Gap-Tallard-Durance,CA,17
200067841,Communauté de communes de l'Alsace Bossue,CC,45
200067866,Communauté de communes Sèvre et Loire,CC,11
200067874,Communauté d'agglomération de Haguenau,CA,36
200067882,Communauté de communes Bazois Loire Morvan,CC,46
200067890,Communauté de communes Morvan Sommets et Grands Lacs,CC,34
200067908,Communauté de communes Amognes Cœur du Nivernais,CC,28
200067916,Communauté de communes Cœur de Loire,CC,30
200067924,Communauté de communes du Canton d'Erstein,CC,28
200067932,Communauté d'agglomération Golfe du Morbihan - Vannes Agglomération,CA,34
200067940,Communauté de communes Couserans-Pyrénées,CC,94
200067957,Communauté de communes Haut Chemin-Pays de Pange,CC,28
200067965,Communauté d'agglomération de la Région de Compiègne et de la Basse Automne,CA,22
200067973,Communauté de communes Thelloise,CC,41
200067981,Communauté d'agglomération Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,CA,57
200067999,Communauté d'agglomération du Beauvaisis,CA,53
200068005,Communauté de communes de l'Oise Picarde,CC,52
200068047,Communauté d'agglomération Creil Sud Oise,CA,11
200068070,Communauté de communes Loue-Lison,CC,71
200068088,Communauté de communes Les Bertranges,CC,32
200068096,Communauté de communes Champsaur-Valgaudemar,CC,25
200068104,Communauté d'agglomération de la Provence Verte,CA,28
200068112,Communauté de communes du Pays de Saverne,CC,35
200068120,Communauté d'agglomération Quimper Bretagne Occidentale,CA,14
200068146,Communauté de communes Sarrebourg Moselle Sud,CC,76
